ad_name,campaign_name,cost,purchases,conv_value
Carrousel DAd - All Targets - MULTI GAMME - PERMANENT - All Products - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,25720.34,2180,131467.71
18/03/26 - Video Social Friendly - Young Parent - KIDS - BONPOINT - #C - Cookie Dough - Unboxing - Sans Prix - V1 - H1,ASUC-(ALL)-PERF-KIDS-INTER,25558.36,1629,86574
Carrousel DAd - All Targets - MULTI GAMME - PERMANENT - All Products - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,13701.18,692,46123.43
15/12/25 - Image - Young Dynamic - SPORT - MONTAGNE - GLACIER #G - Hazel - Packshot Coté - Avec Prix - V1,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,10165.22,731,49870.93
Carrousel DAd - All Targets - MULTI GAMME - PERMANENT - All Products - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,9797.93,638,32948.69
08/06/26 - Image - Young Dynamic - SPORT - RUNNING - #SPEED - Light Grey - Packshot Angle - Outdoor Adventure - Avec Prix - V1,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,9686.66,440,30842.68
21/05/26 - Carrousel - Young Dynamic - SPORT - PERMANENT - #FLASH - Multi Variantes - Packshot MoMa - Sans Prix - V1 - H1,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,9636.47,362,27256.92
Carrousel DAd - All Targets - MULTI GAMME - PERMANENT - All Products - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(HISTO)-UK-(UK)-PERF-RTG,9596.09,415,27384.82
Carrousel DAd - All Targets - MULTI GAMME - PERMANENT - All Products - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,6855.48,253,23056.83
08/06/26 - Image - Young Dynamic - SPORT - MONTAGNE - GLACIER #G - Sand - Packshot Angle - Outdoor Adventure - Avec Prix - V1,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,5501.87,269,19377.27
