date,campaign_name,landing_page_views,initiate_checkout
2026-04-24,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,423,10
2026-04-24,ASUC-(ALL)-PERF-KIDS-INTER,264,6
2026-04-24,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,382,15
2026-04-24,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,75,5
2026-04-24,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,34,
2026-04-24,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,164,
2026-04-24,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,265,
2026-04-24,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,289,11
2026-04-24,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,600,24
2026-04-24,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,105,
2026-04-24,ASUC-(HISTO)-UK-(UK)-PERF-RTG,176,
2026-04-24,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,83,
2026-04-24,ASUC-(HISTO)-US-(US)-PERF-RTG,134,
2026-04-24,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,26,
2026-04-24,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,21,
2026-04-24,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,103,
2026-04-24,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,45,
2026-04-24,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,160,
2026-04-24,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,41,
2026-04-24,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,34,
2026-04-24,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,56,
2026-04-24,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,338,
2026-04-24,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,257,
2026-04-24,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,110,
2026-04-24,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,110,
2026-04-24,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,264,
2026-04-24,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,251,
2026-04-24,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,9,
2026-04-24,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,12,
2026-04-24,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,1,
2026-04-24,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,10,
2026-04-24,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,35,
2026-04-24,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,33,
2026-04-24,ASUC-(NEW)-PERF-RTG-WARM-ROW,161,
2026-04-24,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,77,
