date,campaign_name,cost,purchases,conv_value
2026-04-24,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,673.69,54,3479.01
2026-04-24,ASUC-(ALL)-PERF-KIDS-INTER,305.57,35,2030.9
2026-04-24,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,322.09,32,1610.89
2026-04-24,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,119.42,9,575.28
2026-04-24,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,46.79,5,287.41
2026-04-24,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,214.72,8,756
2026-04-24,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,283.18,17,1192.5
2026-04-24,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,158.59,9,456.94
2026-04-24,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,224.98,24,1505.9
2026-04-24,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,212.6,17,1198.59
2026-04-24,ASUC-(HISTO)-UK-(UK)-PERF-RTG,179.52,13,898
2026-04-24,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,190.44,10,884.12
2026-04-24,ASUC-(HISTO)-US-(US)-PERF-RTG,229.07,1,182.84
2026-04-24,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,22.01,null,null
2026-04-24,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,21.43,1,56.69
2026-04-24,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,57.35,1,50.5
2026-04-24,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,31.97,5,441.5
2026-04-24,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,104.3,3,250
2026-04-24,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,30.27,4,370.5
2026-04-24,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,22.21,1,57.93
2026-04-24,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,39.54,3,216.75
2026-04-24,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,87.88,3,170.9
2026-04-24,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,50.82,1,41
2026-04-24,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,56.32,null,null
2026-04-24,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,58.34,4,176.5
2026-04-24,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,120.85,5,275
2026-04-24,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,92.12,6,333.99
2026-04-24,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,8.29,1,100.93
2026-04-24,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,11.32,null,null
2026-04-24,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,5.24,null,null
2026-04-24,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,6.98,1,67.86
2026-04-24,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,18.05,1,70
2026-04-24,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,33.17,3,181
2026-04-24,ASUC-(NEW)-PERF-RTG-WARM-ROW,58.75,4,322.68
2026-04-24,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,18.82,null,null
2026-04-24,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,11.02,null,null
2026-04-24,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,22.31,1,60
2026-04-24,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,9.7,4,201
2026-04-24,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,8.34,null,null
2026-04-24,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,7.74,1,51.95
2026-04-24,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,109.1,3,150.2
2026-04-24,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,161.3,11,1347.61
2026-04-25,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,689.26,51,3718.25
2026-04-25,ASUC-(ALL)-PERF-KIDS-INTER,324.44,46,3198.22
2026-04-25,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,328.4,35,2335.62
2026-04-25,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,114,6,378.37
2026-04-25,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,47.85,3,256.94
2026-04-25,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,208.43,13,819.4
2026-04-25,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,204.09,22,1945.25
2026-04-25,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,122.67,18,789.91
2026-04-25,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,170.9,20,1191.06
2026-04-25,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,230.86,11,896.29
2026-04-25,ASUC-(HISTO)-UK-(UK)-PERF-RTG,144.51,13,755.89
2026-04-25,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,205.21,2,168.23
2026-04-25,ASUC-(HISTO)-US-(US)-PERF-RTG,182.06,12,1442.33
2026-04-25,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,16.6,null,null
2026-04-25,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,17.58,null,null
2026-04-25,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,48.29,3,211
2026-04-25,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,27.34,5,237
2026-04-25,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,76.86,5,370.5
2026-04-25,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,22.21,3,215.5
2026-04-25,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,22.73,2,215.87
2026-04-25,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,31.97,3,227.43
2026-04-25,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,71.74,5,241
2026-04-25,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,39.95,7,429.82
2026-04-25,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,52.02,1,35.5
2026-04-25,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,49.28,3,134.5
2026-04-25,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,101.56,13,908
