date,campaign_name,cost,purchases,conv_value,impressions,clicks,ctr,cpm,frequency,add_to_cart
2026-04-24,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,673.69,54,3479.01,194245,1277,0.0066,3.4682,1.6973,237
2026-04-24,ASUC-(ALL)-PERF-KIDS-INTER,305.57,35,2030.9,78804,733,0.0093,3.8776,1.4163,102
2026-04-24,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,322.09,32,1610.89,50619,891,0.0176,6.363,2.7805,106
2026-04-24,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,119.42,9,575.28,20057,202,0.0101,5.954,1.3056,36
2026-04-24,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,46.79,5,287.41,8127,104,0.0128,5.7574,1.2148,13
2026-04-24,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,214.72,8,756,43008,352,0.0082,4.9926,1.5196,47
2026-04-24,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,283.18,17,1192.5,21232,410,0.0193,13.3374,1.6288,75
2026-04-24,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,158.59,9,456.94,62045,625,0.0101,2.556,1.615,51
2026-04-24,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,224.98,24,1505.9,49270,1055,0.0214,4.5663,1.6884,108
2026-04-24,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,212.6,17,1198.59,36436,238,0.0065,5.8349,1.9159,27
2026-04-24,ASUC-(HISTO)-UK-(UK)-PERF-RTG,179.52,13,898,14746,345,0.0234,12.1741,1.7974,47
2026-04-24,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,190.44,10,884.12,18661,166,0.0089,10.2052,1.5619,22
2026-04-24,ASUC-(HISTO)-US-(US)-PERF-RTG,229.07,1,182.84,12362,252,0.0204,18.5302,1.5286,35
2026-04-24,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,22.01,null,null,1828,44,0.0241,12.0405,1.1909,3
2026-04-24,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,21.43,1,56.69,1658,39,0.0235,12.9252,1.5005,4
2026-04-24,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,57.35,1,50.5,13093,150,0.0115,4.3802,1.2998,12
2026-04-24,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,31.97,5,441.5,3867,60,0.0155,8.2674,1.4238,13
2026-04-24,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,104.3,3,250,36794,353,0.0096,2.8347,1.2199,31
2026-04-24,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,30.27,4,370.5,5492,98,0.0178,5.5117,1.6153,22
2026-04-24,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,22.21,1,57.93,3610,59,0.0163,6.1524,1.1585,13
2026-04-24,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,39.54,3,216.75,4770,99,0.0208,8.2893,1.4897,11
2026-04-24,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,87.88,3,170.9,54808,722,0.0132,1.6034,1.3581,38
2026-04-24,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,50.82,1,41,21487,447,0.0208,2.3652,1.5257,18
2026-04-24,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,56.32,null,null,16822,175,0.0104,3.348,1.2375,6
2026-04-24,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,58.34,4,176.5,12871,249,0.0193,4.5327,2.1038,17
2026-04-24,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,120.85,5,275,47900,511,0.0107,2.523,1.2778,24
2026-04-24,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,92.12,6,333.99,22818,434,0.019,4.0372,1.7319,42
2026-04-24,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,8.29,1,100.93,2414,15,0.0062,3.4341,1.1212,null
2026-04-24,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,11.32,null,null,3220,37,0.0115,3.5155,1.4676,1
2026-04-24,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,5.24,null,null,781,10,0.0128,6.7093,1.1,null
2026-04-24,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,6.98,1,67.86,709,22,0.031,9.8449,1.2891,2
2026-04-24,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,18.05,1,70,2330,46,0.0197,7.7468,1.1691,5
2026-04-24,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,33.17,3,181,3458,54,0.0156,9.5922,1.6412,6
