date,campaign_name,purchases_new
2026-04-25,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,21
2026-04-25,ASUC-(ALL)-PERF-KIDS-INTER,26
2026-04-25,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,null
2026-04-25,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,1
2026-04-25,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,3
2026-04-25,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,13
2026-04-25,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,6
2026-04-25,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,18
2026-04-25,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,5
2026-04-25,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,11
2026-04-25,ASUC-(HISTO)-UK-(UK)-PERF-RTG,5
2026-04-25,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,2
2026-04-25,ASUC-(HISTO)-US-(US)-PERF-RTG,null
2026-04-25,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,null
2026-04-25,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,null
2026-04-25,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,3
2026-04-25,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,2
2026-04-25,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,5
2026-04-25,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,2
2026-04-25,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,2
2026-04-25,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,3
2026-04-25,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,5
2026-04-25,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,5
2026-04-25,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,1
2026-04-25,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,null
